GeneSymbol,LFC.ave,regulatory.function,matrix.family,Chromosome,Coverage,Direction,Top10,ori,catogory,Group,Male_biased,Female_biased
EFCAB5,-0.645000011,none,,19,26,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EFCAB5,-0.800000012,none,,19,14,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EFCAB5,-0.765,none,,19,39,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EFCAB5,-0.89,none,,19,257,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFCAB5,-0.875,none,,19,220,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFCAB5,-0.74000001,none,,19,11,2dw_SD_H_mtof,,SD_H_mtof,mtof,SD,0,1
EFCAB7,0.569999993,none,,8,10,1up_FW_H_mtof,,FW_H_mtof,mtof,FW,1,0
EFCAB7,-0.589999974,none,,8,12,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EFCAB7,-0.720000029,none,,8,17,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EFCAB7,-0.943333333,none,,8,157,2dw_LDtoNS_H_mtof,Top10.dw,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFCAB7,-0.889999986,none,,8,156,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFCC1,-0.774999976,none,,12,31,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EFCC1,-0.86,none,,12,23,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFCC1,-0.925000012,none,,12,44,2dw_SDtoNS_H_mtof,Top10.dw,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFEMP1,-0.850000024,none,,3,117,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EFEMP1,-0.85,none,,3,64,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFEMP1,-0.844999999,none,,3,68,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFHB,0.569999993,none,,2,10,1up_CB_H_mtof,,CB_H_mtof,mtof,CB,1,0
EFHB,-0.91,none,,2,165,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFHB,-0.879999995,none,,2,154,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFHC1,-0.646666646,none,,3,13,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EFHC1,-0.75,none,,3,25,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EFHC1,-0.87,none,,3,104,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFHC1,-0.863333344,none,,3,96,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFHC1,-0.796666682,none,,3,22,2dw_SD_H_mtof,,SD_H_mtof,mtof,SD,0,1
EFHC2,0.930000007,none,,1,13,1up_CB_H_mtof,Top10.up,CB_H_mtof,mtof,CB,1,0
EFHC2,-0.699999989,none,,1,22,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EFHC2,-0.91,none,,1,322,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFHC2,-0.894999981,none,,1,307,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFHC2,-0.769999981,none,,1,11,2dw_SD_H_mtof,,SD_H_mtof,mtof,SD,0,1
EFHD1,-0.75,none,,9,42,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EFHD1,-0.85,none,,9,18,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFHD1,-0.75,none,,9,20,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFNA2,-0.579999983,none,,28,11,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EFNA2,-0.879999995,none,,28,33,2dw_LD_H_mtof,Top10.dw,LD_H_mtof,mtof,LD,0,1
EFNA2,-0.81,none,,28,13,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFNA2,-0.855000019,none,,28,39,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFNA2,-0.709999979,none,,28,35,2dw_SD_H_mtof,,SD_H_mtof,mtof,SD,0,1
EFNA5,0.589999974,none,,Z,11,1up_CB_H_mtof,,CB_H_mtof,mtof,CB,1,0
EFNA5,0.720000029,none,,Z,15,1up_LD_H_mtof,,LD_H_mtof,mtof,LD,1,0
EFNA5,0.660000026,none,,Z,11,1up_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,1,0
EFNA5,0.754999995,none,,Z,30,1up_SD_H_mtof,,SD_H_mtof,mtof,SD,1,0
EFNB1,-0.855000019,none,,4A,103,2dw_LD_H_mtof,Top10.dw,LD_H_mtof,mtof,LD,0,1
EFNB1,-0.83,none,,4A,21,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFNB1,-0.844999999,none,,4A,25,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFNB1,-0.594999999,none,,4A,40,2dw_SD_H_mtof,,SD_H_mtof,mtof,SD,0,1
EFNB2,0.930000007,none,,1,37,1up_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,1,0
EFNB2,-0.910000026,none,,1,13,2dw_LD_H_mtof,Top10.dw,LD_H_mtof,mtof,LD,0,1
EFNB2,-0.639999986,none,,1,10,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EFR3A,-0.600000024,none,,2,12,2dw_FW_H_mtof,,FW_H_mtof,mtof,FW,0,1
EFR3A,-0.725000024,none,,2,259,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EFTUD1,-0.594999999,none,,10,11,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EFTUD1,-0.639999986,none,,10,54,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EFTUD1,-0.88,none,,10,160,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EFTUD1,-0.889999986,none,,10,152,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EFTUD2,-0.720000029,none,,27,101,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EFTUD2,-0.715000004,none,,27,29,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EGF,-0.569999993,none,,4,219,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EGF,-0.699999988,none,,4,27,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EGF,-0.660000026,none,,4,51,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EGF,-0.885,none,,4,166,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EGFL6,-0.719999999,none,,1,12,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EGFL6,-0.886666667,none,,1,65,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EGFL6,-0.889999986,none,,1,151,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EGFL7,-0.834999979,none,,17,19,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EGFLAM,0.629999995,none,,Z,24,1up_CB_H_mtof,,CB_H_mtof,mtof,CB,1,0
EGFLAM,-0.88,none,,Z,239,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EGFLAM,-0.870000005,none,,Z,196,2dw_SDtoNS_H_mtof,,SDtoNS_H_mtof,mtof,SDtoNS,0,1
EGFR,0.610000014,none,,2,19,1up_FW_H_mtof,,FW_H_mtof,mtof,FW,1,0
EGFR,-0.540000021,none,,2,44,2dw_CB_H_mtof,,CB_H_mtof,mtof,CB,0,1
EGFR,-0.699999988,none,,2,10,2dw_SDT_H_mtof,,SDT_H_mtof,mtof,SDT,0,1
EGFR,-0.85,none,,2,22,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
EGLN1,-0.714999974,none,,3,41,2dw_LD_H_mtof,,LD_H_mtof,mtof,LD,0,1
EGLN1,-0.77,none,,3,45,2dw_LDtoNS_H_mtof,,LDtoNS_H_mtof,mtof,LDtoNS,0,1
