ori,NewName,Species,Season,Sex,Testo,Tissue,Group,Group_tissue
Can_SDmT_HVC_3.CEL,SDmT_H_3,CAN,SD,male,Testo,HVC,non-breeding male + T      ,non-breeding male + T      _HVC
Can_SDmT_HVC_4.CEL,SDmT_H_4,CAN,SD,male,Testo,HVC,non-breeding male + T      ,non-breeding male + T      _HVC
Can_SDmT_HVC_5.CEL,SDmT_H_5,CAN,SD,male,Testo,HVC,non-breeding male + T      ,non-breeding male + T      _HVC
Can_SDmT_HVC_6.CEL,SDmT_H_6,CAN,SD,male,Testo,HVC,non-breeding male + T      ,non-breeding male + T      _HVC
Can_SDmT_HVC_7.CEL,SDmT_H_7,CAN,SD,male,Testo,HVC,non-breeding male + T      ,non-breeding male + T      _HVC
CB_female_ENT_80.CEL,CBf_E_80,CB,LD,female,NA,Ento,Cordon-bleu female,Cordon-bleu female_Ento
CB_female_ENT_83.CEL,CBf_E_83,CB,LD,female,NA,Ento,Cordon-bleu female,Cordon-bleu female_Ento
CB_female_ENT_85.CEL,CBf_E_85,CB,LD,female,NA,Ento,Cordon-bleu female,Cordon-bleu female_Ento
CB_female_ENT_87.CEL,CBf_E_87,CB,LD,female,NA,Ento,Cordon-bleu female,Cordon-bleu female_Ento
CB_female_ENT_89.CEL,CBf_E_89,CB,LD,female,NA,Ento,Cordon-bleu female,Cordon-bleu female_Ento
CB_female_ENT_91.CEL,CBf_E_91,CB,LD,female,NA,Ento,Cordon-bleu female,Cordon-bleu female_Ento
CB_female_HVC_80.CEL,CBf_H_80,CB,LD,female,NA,HVC,Cordon-bleu female,Cordon-bleu female_HVC
CB_female_HVC_83.CEL,CBf_H_83,CB,LD,female,NA,HVC,Cordon-bleu female,Cordon-bleu female_HVC
CB_female_HVC_89.CEL,CBf_H_89,CB,LD,female,NA,HVC,Cordon-bleu female,Cordon-bleu female_HVC
CB_female_HVC_91.CEL,CBf_H_91,CB,LD,female,NA,HVC,Cordon-bleu female,Cordon-bleu female_HVC
CB_female_HVC_92.CEL,CBf_H_92,CB,LD,female,NA,HVC,Cordon-bleu female,Cordon-bleu female_HVC
CB_female_HVC_93.CEL,CBf_H_93,CB,LD,female,NA,HVC,Cordon-bleu female,Cordon-bleu female_HVC
CB_male_ENT_81.CEL,CBm_E_81,CB,LD,male,NA,Ento,Cordon-bleu male,Cordon-bleu male_Ento
CB_male_ENT_82.CEL,CBm_E_82,CB,LD,male,NA,Ento,Cordon-bleu male,Cordon-bleu male_Ento
CB_male_ENT_84.CEL,CBm_E_84,CB,LD,male,NA,Ento,Cordon-bleu male,Cordon-bleu male_Ento
CB_male_ENT_86.CEL,CBm_E_86,CB,LD,male,NA,Ento,Cordon-bleu male,Cordon-bleu male_Ento
CB_male_ENT_88.CEL,CBm_E_88,CB,LD,male,NA,Ento,Cordon-bleu male,Cordon-bleu male_Ento
CB_male_ENT_90.CEL,CBm_E_90,CB,LD,male,NA,Ento,Cordon-bleu male,Cordon-bleu male_Ento
CB_male_HVC_81.CEL,CBm_H_81,CB,LD,male,NA,HVC,Cordon-bleu male,Cordon-bleu male_HVC
CB_male_HVC_82.CEL,CBm_H_82,CB,LD,male,NA,HVC,Cordon-bleu male,Cordon-bleu male_HVC
CB_male_HVC_84.CEL,CBm_H_84,CB,LD,male,NA,HVC,Cordon-bleu male,Cordon-bleu male_HVC
CB_male_HVC_86.CEL,CBm_H_86,CB,LD,male,NA,HVC,Cordon-bleu male,Cordon-bleu male_HVC
CB_male_HVC_88.CEL,CBm_H_88,CB,LD,male,NA,HVC,Cordon-bleu male,Cordon-bleu male_HVC
CB_male_HVC_90.CEL,CBm_H_90,CB,LD,male,NA,HVC,Cordon-bleu male,Cordon-bleu male_HVC
FW_female_ENT_12-9.CEL,FWf_E_12-9,FW,LD,female,NA,Ento,Forest weaver female,Forest weaver female_Ento
FW_female_ENT_13.CEL,FWf_E_13,FW,LD,female,NA,Ento,Forest weaver female,Forest weaver female_Ento
FW_female_ENT_17.CEL,FWf_E_17,FW,LD,female,NA,Ento,Forest weaver female,Forest weaver female_Ento
FW_female_ENT_2.CEL,FWf_E_2,FW,LD,female,NA,Ento,Forest weaver female,Forest weaver female_Ento
FW_female_ENT_5.CEL,FWf_E_5,FW,LD,female,NA,Ento,Forest weaver female,Forest weaver female_Ento
FW_female_ENT_8.CEL,FWf_E_8,FW,LD,female,NA,Ento,Forest weaver female,Forest weaver female_Ento
FW_female_HVC_13.CEL,FWf_H_13,FW,LD,female,NA,HVC,Forest weaver female,Forest weaver female_HVC
FW_female_HVC_17-2.CEL,FWf_H_17-2,FW,LD,female,NA,HVC,Forest weaver female,Forest weaver female_HVC
FW_female_HVC_2.CEL,FWf_H_2,FW,LD,female,NA,HVC,Forest weaver female,Forest weaver female_HVC
FW_female_HVC_4.CEL,FWf_H_4,FW,LD,female,NA,HVC,Forest weaver female,Forest weaver female_HVC
FW_female_HVC_5-2.CEL,FWf_H_5-2,FW,LD,female,NA,HVC,Forest weaver female,Forest weaver female_HVC
FW_female_HVC_8-2.CEL,FWf_H_8-2,FW,LD,female,NA,HVC,Forest weaver female,Forest weaver female_HVC
FW_male_ENT_10.CEL,FWm_E_10,FW,LD,male,NA,Ento,Forest weaver male,Forest weaver male_Ento
FW_male_ENT_14.CEL,FWm_E_14,FW,LD,male,NA,Ento,Forest weaver male,Forest weaver male_Ento
FW_male_ENT_18.CEL,FWm_E_18,FW,LD,male,NA,Ento,Forest weaver male,Forest weaver male_Ento
FW_male_ENT_3.CEL,FWm_E_3,FW,LD,male,NA,Ento,Forest weaver male,Forest weaver male_Ento
FW_male_ENT_6.CEL,FWm_E_6,FW,LD,male,NA,Ento,Forest weaver male,Forest weaver male_Ento
FW_male_ENT_7.CEL,FWm_E_7,FW,LD,male,NA,Ento,Forest weaver male,Forest weaver male_Ento
FW_male_HVC_1.CEL,FWm_H_1,FW,LD,male,NA,HVC,Forest weaver male,Forest weaver male_HVC
FW_male_HVC_12.CEL,FWm_H_12,FW,LD,male,NA,HVC,Forest weaver male,Forest weaver male_HVC
FW_male_HVC_14.CEL,FWm_H_14,FW,LD,male,NA,HVC,Forest weaver male,Forest weaver male_HVC
FW_male_HVC_18.CEL,FWm_H_18,FW,LD,male,NA,HVC,Forest weaver male,Forest weaver male_HVC
FW_male_HVC_6.CEL,FWm_H_6,FW,LD,male,NA,HVC,Forest weaver male,Forest weaver male_HVC
FW_male_HVC_7.CEL,FWm_H_7,FW,LD,male,NA,HVC,Forest weaver male,Forest weaver male_HVC
